date,location,new_cases,new_deaths
3/26/2020,France,2931,231
3/27/2020,France,3922,365
3/28/2020,France,3809,299
3/29/2020,France,4611,319
3/30/2020,France,2599,292
3/31/2020,France,4376,418
4/1/2020,France,7578,499
4/2/2020,France,4861,509
4/3/2020,France,2116,471
4/4/2020,France,5233,2004
4/5/2020,France,4267,1053
4/6/2020,France,1873,518
4/7/2020,France,3912,833
4/8/2020,France,3777,1417
4/9/2020,France,3881,541
4/10/2020,France,4286,1341
4/11/2020,France,4342,987
4/12/2020,France,3114,635
4/13/2020,France,1613,561
4/14/2020,France,2673,574
4/15/2020,France,5497,762
4/16/2020,France,2633,1438
4/17/2020,France,2641,753
4/18/2020,France,405,761
4/19/2020,France,2569,642
4/20/2020,France,785,395
12/31/2019,Germany,0,0
1/1/2020,Germany,0,0
1/2/2020,Germany,0,0
1/3/2020,Germany,0,0
1/4/2020,Germany,0,0
1/5/2020,Germany,0,0
1/6/2020,Germany,0,0
1/7/2020,Germany,0,0
1/8/2020,Germany,0,0
1/9/2020,Germany,0,0
1/10/2020,Germany,0,0
1/11/2020,Germany,0,0
1/12/2020,Germany,0,0
1/13/2020,Germany,0,0
1/14/2020,Germany,0,0
1/15/2020,Germany,0,0
1/16/2020,Germany,0,0
1/17/2020,Germany,0,0
1/18/2020,Germany,0,0
1/19/2020,Germany,0,0
1/20/2020,Germany,0,0
1/21/2020,Germany,0,0
1/22/2020,Germany,0,0
1/23/2020,Germany,0,0
1/24/2020,Germany,0,0
1/25/2020,Germany,0,0
1/26/2020,Germany,0,0
1/27/2020,Germany,0,0
1/28/2020,Germany,1,0
1/29/2020,Germany,3,0
1/30/2020,Germany,0,0
1/31/2020,Germany,1,0
2/1/2020,Germany,2,0
2/2/2020,Germany,1,0
2/3/2020,Germany,1,0
2/4/2020,Germany,2,0
2/5/2020,Germany,0,0
2/6/2020,Germany,0,0
2/7/2020,Germany,1,0
2/8/2020,Germany,1,0
2/9/2020,Germany,0,0
2/10/2020,Germany,0,0
2/11/2020,Germany,0,0
2/12/2020,Germany,2,0
2/13/2020,Germany,0,0
2/14/2020,Germany,0,0
2/15/2020,Germany,0,0
2/16/2020,Germany,0,0
2/17/2020,Germany,0,0
2/18/2020,Germany,0,0
2/19/2020,Germany,0,0
2/20/2020,Germany,0,0
2/21/2020,Germany,0,0
2/22/2020,Germany,0,0
2/23/2020,Germany,0,0
2/24/2020,Germany,0,0
2/25/2020,Germany,0,0
2/26/2020,Germany,2,0
2/27/2020,Germany,4,0
2/28/2020,Germany,26,0
2/29/2020,Germany,10,0
3/1/2020,Germany,54,0
3/2/2020,Germany,18,0
3/3/2020,Germany,28,0
3/4/2020,Germany,39,0
3/5/2020,Germany,66,0
3/6/2020,Germany,138,0
3/7/2020,Germany,284,0
3/8/2020,Germany,163,0
3/9/2020,Germany,55,0
3/10/2020,Germany,237,2
3/11/2020,Germany,157,0
3/12/2020,Germany,271,1
3/13/2020,Germany,802,2
3/14/2020,Germany,693,0
3/15/2020,Germany,733,3
3/16/2020,Germany,1043,4
3/17/2020,Germany,1174,1
3/18/2020,Germany,1144,0
3/19/2020,Germany,1042,0
3/20/2020,Germany,5940,30
3/21/2020,Germany,4049,2
3/22/2020,Germany,3276,22
3/23/2020,Germany,3311,27
3/24/2020,Germany,4438,32
3/25/2020,Germany,2342,23
3/26/2020,Germany,4954,49
3/27/2020,Germany,5780,55
3/28/2020,Germany,6294,72
3/29/2020,Germany,3965,64
3/30/2020,Germany,4751,66
3/31/2020,Germany,4615,128
4/1/2020,Germany,5453,149
4/2/2020,Germany,6156,140
4/3/2020,Germany,6174,145
4/4/2020,Germany,6082,141
4/5/2020,Germany,5936,184
4/6/2020,Germany,3677,92
4/7/2020,Germany,3834,173
4/8/2020,Germany,4003,254
4/9/2020,Germany,4974,246
4/10/2020,Germany,5323,266
4/11/2020,Germany,4133,171
4/12/2020,Germany,2821,129
4/13/2020,Germany,2537,126
4/14/2020,Germany,2082,170
4/15/2020,Germany,2486,285
4/16/2020,Germany,2866,315
4/17/2020,Germany,3380,299
4/18/2020,Germany,3609,242
4/19/2020,Germany,2458,184
4/20/2020,Germany,1775,110
3/5/2020,Hungary,2,0
3/7/2020,Hungary,2,0
3/8/2020,Hungary,3,0
3/9/2020,Hungary,1,0
3/10/2020,Hungary,1,0
3/11/2020,Hungary,3,0
3/12/2020,Hungary,1,0
3/13/2020,Hungary,3,0
3/14/2020,Hungary,9,0
3/15/2020,Hungary,6,0
3/16/2020,Hungary,8,1
3/17/2020,Hungary,11,0
3/18/2020,Hungary,0,0
3/19/2020,Hungary,23,0
3/20/2020,Hungary,12,0
3/21/2020,Hungary,18,3
3/22/2020,Hungary,28,0
3/23/2020,Hungary,36,3
3/24/2020,Hungary,20,1
3/25/2020,Hungary,39,2
3/26/2020,Hungary,35,0
3/27/2020,Hungary,39,0
3/28/2020,Hungary,43,1
3/29/2020,Hungary,65,2
3/30/2020,Hungary,39,2
3/31/2020,Hungary,45,1
4/1/2020,Hungary,33,4
4/2/2020,Hungary,60,1
4/3/2020,Hungary,38,5
4/4/2020,Hungary,55,6
4/5/2020,Hungary,55,2
4/6/2020,Hungary,11,4
4/7/2020,Hungary,73,9
4/8/2020,Hungary,78,11
4/9/2020,Hungary,85,8
4/10/2020,Hungary,210,11
4/11/2020,Hungary,120,8
4/12/2020,Hungary,100,14
4/13/2020,Hungary,48,10
4/14/2020,Hungary,54,13
4/15/2020,Hungary,67,12
4/16/2020,Hungary,73,8
4/17/2020,Hungary,111,14
4/18/2020,Hungary,71,16
4/19/2020,Hungary,82,17
4/20/2020,Hungary,68,10
12/31/2019,India,0,0
1/1/2020,India,0,0
1/2/2020,India,0,0
1/3/2020,India,0,0
1/4/2020,India,0,0
1/5/2020,India,0,0
1/6/2020,India,0,0
1/7/2020,India,0,0
1/8/2020,India,0,0
1/9/2020,India,0,0
1/10/2020,India,0,0
1/11/2020,India,0,0
1/12/2020,India,0,0
1/13/2020,India,0,0
1/14/2020,India,0,0
1/15/2020,India,0,0
1/16/2020,India,0,0
1/17/2020,India,0,0
1/18/2020,India,0,0
1/19/2020,India,0,0
1/20/2020,India,0,0
1/21/2020,India,0,0
1/22/2020,India,0,0
1/23/2020,India,0,0
1/24/2020,India,0,0
1/25/2020,India,0,0
1/26/2020,India,0,0
1/27/2020,India,0,0
1/28/2020,India,0,0
1/29/2020,India,0,0
1/30/2020,India,1,0
1/31/2020,India,0,0
2/1/2020,India,0,0
2/2/2020,India,1,0
2/3/2020,India,0,0
2/4/2020,India,1,0
2/5/2020,India,0,0
2/6/2020,India,0,0
2/7/2020,India,0,0
2/8/2020,India,0,0
2/9/2020,India,0,0
2/10/2020,India,0,0
2/11/2020,India,0,0
2/12/2020,India,0,0
2/13/2020,India,0,0
2/14/2020,India,0,0
2/15/2020,India,0,0
2/16/2020,India,0,0
2/17/2020,India,0,0
2/18/2020,India,0,0
2/19/2020,India,0,0
2/20/2020,India,0,0
2/21/2020,India,0,0
2/22/2020,India,0,0
2/23/2020,India,0,0
2/24/2020,India,0,0
2/25/2020,India,0,0
2/26/2020,India,0,0
2/27/2020,India,0,0
2/28/2020,India,0,0
2/29/2020,India,0,0
3/1/2020,India,0,0
3/2/2020,India,0,0
3/3/2020,India,2,0
3/4/2020,India,1,0
3/5/2020,India,22,0
3/6/2020,India,1,0
3/7/2020,India,2,0
3/8/2020,India,3,0
3/10/2020,India,10,0
3/11/2020,India,6,0
3/12/2020,India,23,0
3/13/2020,India,2,1
3/14/2020,India,8,1
3/15/2020,India,7,0
3/16/2020,India,3,0
3/17/2020,India,32,1
3/18/2020,India,12,0
3/19/2020,India,28,0
3/20/2020,India,26,1
3/21/2020,India,40,0
3/22/2020,India,89,0
3/23/2020,India,119,3
3/24/2020,India,53,2
3/25/2020,India,70,0
3/26/2020,India,87,4
3/27/2020,India,75,4
3/28/2020,India,149,2
3/29/2020,India,106,6
3/30/2020,India,92,4
3/31/2020,India,180,3
4/1/2020,India,146,3
4/2/2020,India,568,15
4/3/2020,India,336,6
4/4/2020,India,601,12
4/5/2020,India,472,9
4/6/2020,India,693,32
4/7/2020,India,354,5
4/8/2020,India,773,35
4/9/2020,India,540,17
4/10/2020,India,678,33
4/11/2020,India,1035,40
4/12/2020,India,909,34
4/13/2020,India,796,35
4/14/2020,India,1211,31
4/15/2020,India,1075,38
4/16/2020,India,942,37
4/17/2020,India,1007,23
4/18/2020,India,991,43
4/19/2020,India,1334,27
4/20/2020,India,1553,36
12/31/2019,Indonesia,0,0
1/1/2020,Indonesia,0,0
1/2/2020,Indonesia,0,0
1/3/2020,Indonesia,0,0
1/4/2020,Indonesia,0,0
1/5/2020,Indonesia,0,0
1/6/2020,Indonesia,0,0
1/7/2020,Indonesia,0,0
1/8/2020,Indonesia,0,0
1/9/2020,Indonesia,0,0
1/10/2020,Indonesia,0,0
1/11/2020,Indonesia,0,0
1/12/2020,Indonesia,0,0
1/13/2020,Indonesia,0,0
1/14/2020,Indonesia,0,0
1/15/2020,Indonesia,0,0
1/16/2020,Indonesia,0,0
1/17/2020,Indonesia,0,0
1/18/2020,Indonesia,0,0
1/19/2020,Indonesia,0,0
1/20/2020,Indonesia,0,0
1/21/2020,Indonesia,0,0
1/22/2020,Indonesia,0,0
1/23/2020,Indonesia,0,0
1/24/2020,Indonesia,0,0
1/25/2020,Indonesia,0,0
1/26/2020,Indonesia,0,0
1/27/2020,Indonesia,0,0
1/28/2020,Indonesia,0,0
1/29/2020,Indonesia,0,0
1/30/2020,Indonesia,0,0
1/31/2020,Indonesia,0,0
2/1/2020,Indonesia,0,0
2/2/2020,Indonesia,0,0
2/3/2020,Indonesia,0,0
2/4/2020,Indonesia,0,0
2/5/2020,Indonesia,0,0
2/6/2020,Indonesia,0,0
2/7/2020,Indonesia,0,0
2/8/2020,Indonesia,0,0
2/9/2020,Indonesia,0,0
2/10/2020,Indonesia,0,0
2/11/2020,Indonesia,0,0
2/12/2020,Indonesia,0,0
2/13/2020,Indonesia,0,0
2/14/2020,Indonesia,0,0
2/15/2020,Indonesia,0,0
2/16/2020,Indonesia,0,0
2/17/2020,Indonesia,0,0
2/18/2020,Indonesia,0,0
2/19/2020,Indonesia,0,0
2/20/2020,Indonesia,0,0
2/21/2020,Indonesia,0,0
2/22/2020,Indonesia,0,0
2/23/2020,Indonesia,0,0
2/24/2020,Indonesia,0,0
2/25/2020,Indonesia,0,0
2/26/2020,Indonesia,0,0
2/27/2020,Indonesia,0,0
2/28/2020,Indonesia,0,0
2/29/2020,Indonesia,0,0
